,epochs,train_mae,val_mae
0,0.0,0.049645762890577316,0.03749562054872513
1,1.0,0.03822287172079086,0.03562556579709053
2,2.0,0.036887332797050476,0.03545743599534035
3,3.0,0.03662189841270447,0.034765444695949554
4,4.0,0.0365067794919014,0.03655588999390602
5,5.0,0.0364072360098362,0.03456747159361839
6,6.0,0.036133717745542526,0.03425297513604164
7,7.0,0.036103975027799606,0.03404470160603523
8,8.0,0.03575456887483597,0.03371471166610718
9,9.0,0.035254739224910736,0.03347296267747879
10,10.0,0.034922923892736435,0.033152610063552856
11,11.0,0.03464898839592934,0.03304256498813629
12,12.0,0.034387923777103424,0.032876722514629364
13,13.0,0.03425857424736023,0.033270206302404404
14,14.0,0.03413834795355797,0.03303038328886032
15,15.0,0.034146904945373535,0.03318360820412636
16,16.0,0.034049537032842636,0.03273952007293701
17,17.0,0.033963367342948914,0.03264106437563896
18,18.0,0.03386157378554344,0.032595958560705185
19,19.0,0.033894434571266174,0.03284800052642822
20,20.0,0.033540885895490646,0.032286934554576874
21,21.0,0.033510971814394,0.03228018805384636
22,22.0,0.03350161015987396,0.03227468580007553
23,23.0,0.03349608555436134,0.03227531537413597
24,24.0,0.03349015861749649,0.03227100148797035
25,25.0,0.03348569571971893,0.03226632997393608
26,26.0,0.033482227474451065,0.032262325286865234
27,27.0,0.033478304743766785,0.032257936894893646
28,28.0,0.033475056290626526,0.03225201368331909
29,29.0,0.033472493290901184,0.03224540874361992
30,30.0,0.03342694789171219,0.03223571926355362
