,sites,1,2,3,4,5,6,7,8,9,10,11,12
0,ELPA_SUNN_in,371113800043264.3,366394427337124.5,415807558462100.1,478016014055936.75,529514860047022.25,569208638807180.0,602682427286843.1,634288231722900.8,665866191881142.6,697652933633188.8,729266970358266.6,760279183084522.8
1,ELPA_SUNN_out,1100264105.9750473,1076698364.6624677,1169480783.5127537,1301823963.67308,1418328282.54436,1511536432.6686127,1591659423.3552125,1667760126.872183,1743878887.0518854,1820540795.7770655,1896775802.1204703,1971389458.430716
2,ATLA_NASH_in,1307511121.5051413,1258851448.2643733,1431689119.8749583,1658121595.5271797,1836277198.6978884,1964478949.0287564,2067472337.608284,2163547364.799581,2260550527.0026264,2359990125.1262827,2460956013.150774,2562250273.549662
3,ATLA_NASH_out,1109980305.6964934,1037625732.5066735,1122565749.6571085,1250194143.8754895,1357271446.0860517,1436293081.1479754,1499860290.6636736,1559121080.5139835,1619123383.004176,1680577830.5624568,1742355336.1742587,1803080753.0356407
4,CHIC_ECHI_in,2230887510.310189,2194769201.517863,2586211940.0535655,3133710091.2544236,3575322656.887465,3903755089.5133376,4176240306.15152,4435350746.9225855,4700440582.266433,4976667802.550448,5263240107.346256,5557867151.893039
5,CHIC_ECHI_out,1914335803.5882897,1831082241.1089246,2206845397.278583,2748540236.902234,3192828286.309331,3527497442.412536,3807162076.8620586,4074519656.3429995,4350066064.701181,4639765380.4458275,4942871523.505562,5256507194.603217
6,HOUS_NASH_out,940991317.0672491,916405961.1040556,1034494518.9598349,1181997739.6343176,1301211239.8928802,1390305878.0274312,1463284525.430656,1530886111.9159143,1597690996.4608157,1664374225.7284734,1730119561.031014,1793999093.669867
7,ELPA_HOUS_in,1160126959.8412504,1134821462.666186,1228493881.8068957,1362385087.9986584,1481431026.2620568,1577552854.4569006,1660773841.0823433,1740214360.939231,1819937922.736223,1900401821.6183472,1980525156.3380225,2059007630.331827
8,EASH_ECHI_in,2105967659.600306,2007317227.1759655,2409565755.5817447,2992220939.0873923,3471116539.691861,3832175190.132477,4133904834.0197067,4422284549.238099,4719465730.253703,5031936742.017513,5358920991.766146,5697313398.525084
9,EASH_ECHI_out,1657236998.382769,1623082423.2323773,1905046572.7051883,2301402691.9049606,2621530181.654476,2859546458.9673476,3056710030.317346,3243888116.3297544,3435217857.7934666,3634551224.984648,3841386136.6279263,4054089170.5084324
10,EASH_WASH_in,1997787925.700635,1949941271.1721592,2286068176.8474636,2759632372.7535224,3142279585.6336846,3426680337.8757763,3662180377.3916965,3885776530.436991,4114395096.8494954,4352592896.999271,4599694065.562447,4853681463.614171
11,EASH_WASH_out,1845450105.9537299,1764354622.3790147,2129210070.359789,2655459950.3189454,3086791432.351177,3411581959.5461793,3683123985.205685,3942956663.692477,4210934103.0524654,4492756053.816254,4787616994.78032,5092672974.387785
