,sites,1,2,3,4,5,6
0,ELPA_SUNN_in,1.0885743954801837e+29,1.5191544490753935e+29,2.345598113713703e+29,3.845729200350801e+29,5.801071751576364e+29,7.72562841168807e+29
1,ELPA_SUNN_out,1.0488841788673057e+18,1.409756955038178e+18,2.1614906452817756e+18,3.5501432749348884e+18,5.369174744574301e+18,7.161009290029022e+18
2,ATLA_NASH_in,1.235761568573752e+18,1.5376796140189765e+18,2.1976640388071867e+18,3.224047204214891e+18,4.4108604891902234e+18,5.491162509733223e+18
3,ATLA_NASH_out,1.0361515200857631e+18,1.1601803783255176e+18,1.5676872794107835e+18,2.3535282993555476e+18,3.379214022811771e+18,4.384129522927896e+18
4,CHIC_ECHI_in,2.0294613860389965e+18,2.184678157982706e+18,3.109851162048595e+18,4.4194190317864346e+18,5.658851522020527e+18,6.558090856376943e+18
5,CHIC_ECHI_out,1.4621788347796216e+18,1.5433394709198787e+18,2.0565834551852995e+18,2.8397438365827804e+18,3.6018428627162496e+18,4.1595652316160614e+18
6,HOUS_NASH_out,6.929418211470031e+17,8.896721574300854e+17,1.2929179593264927e+18,2.003607481983292e+18,2.905621117979297e+18,3.77823550542143e+18
7,ELPA_HOUS_in,1.1667841275584435e+18,1.5344892620685263e+18,2.315982774564611e+18,3.7929755301230725e+18,5.749709152135272e+18,7.688508885084031e+18
8,EASH_ECHI_in,1.7935357981960177e+18,1.8803869220927619e+18,2.4949353173833395e+18,3.431962310253969e+18,4.3443540451369974e+18,5.014722475842041e+18
9,EASH_ECHI_out,1.1255504512844155e+18,1.1987907651578104e+18,1.6992634519247642e+18,2.4128935892983327e+18,3.091180924693519e+18,3.5866960270870625e+18
10,EASH_WASH_in,1.653721366062075e+18,1.7548095019721126e+18,2.4638234534889196e+18,3.4758142900778097e+18,4.430285934222756e+18,5.118405785536421e+18
11,EASH_WASH_out,1.3795545847670085e+18,1.4648006672537981e+18,1.955463412315901e+18,2.697927389141411e+18,3.420585479693773e+18,3.951683980799421e+18
